Index,Artist,Title,Tekst
ML11,Deitrick Haddon,Love Him Like I Do ,"Love him like I do [x8] [Ruben Studdard:] Giving honor to you first The Pastor, the church My folks and friends Listen to these words See God saved me (yeah) From myself when no one else was around And it was only by his grace His mercy His favor Cause I know I don't deserve All the love he show (oh) And how he let me know (oh) He never gonna leave my side [Chorus:] That's why I love him like I do I Love him like I do I Love him like I do That's why I love him like I do I, I [x2] [Deitrick Haddon:] See I got a testimony how He saved my soul When I was just a sinner left in the cold Gave me a second chance Saved me from myself Came to my rescue When I needed help You want to know why I love him like I do Cause when my enemies said I was thru He took me from the bottom And put me on the top He laid his hands on me And now I can't be stopped [Chorus:] That's why I love him like I do I Love him like I do (my my my) I Love him like I do (I do, I do, do do do) That's why I love him like I do (I love him like I do I love him like I do) I, I [x2] [Mary Mary:] Somebody told me that we overcome by our testimony Bet you wouldn't believe how doubt and fear used to paralyze me God's hand led me thru the test And he brought out the very best of me And now I never forget To tell the world what you mean to me (ye... ah... yeah) [Chorus:] That's why I love him like I do I Love him like I do I Love him like I do That's why I love him like I do I, I [x2] [Mary Mary:] Let me tell you why I love [x2] Because he been so good me He takes care of me He keeps love me yeah I love him I love him I Love him like I do I Love him like I do I Love him like I do I Love him like I do"
ML12,The Jackson 5,ABC,Lyrics not found
ML13,Maysa,The Lady In My Life,Lyrics not found
ML14,Ryan Shaw,We Got Love,Lyrics not found
ML15,The Paris Sisters,I Love How You Love Me,Lyrics not found
ML16,New Direction,I Came To Jesus,Lyrics not found
ML17,Kurt Carr & The Kurt Carr Singers,God Great God,Lyrics not found
ML18,Kenny Lattimore,And I Love Her,I give her all my love That's all I do And if you saw my love You'd love her too I love her She gives me ev'rything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her
ML19,Jordin Sparks,Battlefield,"Don't try to explain your mind I know what's happening here One minute it's love and suddenly It's like a battlefield One word turns into a war Why is it the smallest things that tear us down My world's nothing when you're gone I'm out here without a shield Can't go back now Both hands tied behind my back for nothing, oh, no These times when we climb so fast to fall again Why we gotta fall for it now I never meant to start a war You know I never wanna hurt you Don't even know what we're fighting for Why does love always feel like ... a battlefield (battlefield) a battlefield (battlefield) a battlefield (battlefield) [repeat] Why does love always feel like Can't swallow our pride, Neither of us wanna raise that flag If we can't surrender then we both gonna lose what we had, oh no Both hands tied behind my back for nothing (nothing) Oh no, these times when we climb so fast to fall again I don't wanna fall for it now I never meant to start a war You know I never wanna hurt you Don't even know what we're fighting for Why does love always feel like ... a battlefield (battlefield) a battlefield (battlefield) a battlefield (battlefield) [repeat] I guess you better go and get your armor (get your armor) Get your armor (get your armor) I guess you better go and get your armor (get your armor) Get your armor (get your armor) I guess you better go and get your We could pretend that we are friends tonight And in the morning we'll wake up and we'll be alright Cause baby we don't have to fight And I don't want this love to feel like A battlefield (oh), a battlefield (oh), a battlefield, Why does love always feel like a battlefield (oh), A battlefield (oh), a battlefield I guess you better go and get your armor I never meant to start a war (start a war) You know I never wanna hurt you Don't even know what we're fighting for (fighting, fighting for) Why does love always feel like ... a battlefield (battlefield) a battlefield (battlefield) a battlefield (battlefield) [repeat] I guess you better go and get your armor (get your armor) Get your armor (get your armor) I guess you better go and get your armor (get your armor) Get your armor (get your armor) [slowly fade] Why does love always feel like (whoa ooow) Why does love always feel like (whoa ooow) A battlefield, a battlefield.. [(whoa ooow) throughout to end] I never meant to start a war Don't even know what we're fighting for I never meant to start a war Don't even know what we're fighting for (whoa ooow) [fade out]"
ML20,Spoon,You Got Yr. Cherry Bomb,"Life can be so fair Let it go on and on I can push for good You got that cherry bomb Blow out that cherry bomb for me We lost it long ago You and me Now you know your way back from the spirit far Brush your teeth for bed Blow out that cherry bomb Blow out that cherry bomb for me You got to know it's on your sleeve Know it's on your sleeve Know it's on your sleeve (c'mon) It was the longest day that I had ever known I watched you start that drive alone Blow out that cherry bomb for me It's gonna burn right up your sleeve Burn right up your sleeve So there you go again Out in your dressing gown Get yourself to bed Blow out that cherry bomb Oh, life can be so fair Let it go on and on I could pay to have all your cherry bomb Oh, life can be so fair Let it go on and on I could pay to have all your cherry bomb"
ML21,Tarralyn Ramsey,Peace Of God,Lyrics not found
ML22,Tyrese,One,Let me start by sayin' that you're the one 'Cause this' the first time I felt like this players done (ohh) You're the only number that I dial (fuck them other chicks) You're the only sex I'm gettin' now (ain't that a trip) But it don't matter ('cause you're with it) And it don't matter (but then I get it) 'Cause you're the only one [1] I'mma be good with just one girl One girl That's all I need I'mma be straight with just one crib and two whips 'Cause I'm grown and that's all that I need Is one ghetto girl to make my babies with One ghetto girl I'm shakin' all of my chicks That's why I'm down on one knee with one ring Baby all I need is one Ain't nothing gonna stop me from lovin' you And wife'in you Spendin' all my life with you Baby I'm so committed This one is one I'm with it It's so damn good All the sex you want without no hat (imagine that) Got a real nigga thats gon' have your back (imagine that) That's just the way it is And that's just how it's gon' go And you gon' be that one [repeat 1] Girl I ain't gonna front about it down and tell the truth about it (way gone) Way gone Ain't nothing I won't give up just to make you that one Baby that one girl One step One breath One love One name So it's one me One ring One church And one preacher One promise Two little words [repeat 1] Just one One girl One girl Baby all I need is one (all I need is one) One girl (one) One girl (baby your the one) Baby all I need is one One me One ring One church
ML23,Dr. Dog,Where'd All The Time Go?,"Where'd all the time go? It's starting to fly. See how the hands go; Waving goodbye. And you know I get so forgetful when I look in your eyes. Now she's walking backwards through a parade. And I'm stuck in the shadow blocking the shade. And there ain't no way to sweep up the mess that we've made She gets dressed up like a pillow so she's always in bed Flowers for the sick and dead She's on the go, way too fast and way too slow She'll turn to stone at hospitals and funeral homes and when the fog rises somebody sighs who is not in disguise anymore There's nothing to keep you from falling in love. It starts at the bottom and comes from above. Like pieces of a puzzle, like a hand in a glove She gets dressed up like a pillow so she's always in bed Flowers for the sick and dead She's on the go, way too fast and way too slow She'll turn and stop at hospitals and funeral homes and when the tide rises somebody sinks and is gone in the blink of an eye"
ML24,Tarralyn Ramsey,Unconditional Love,Lyrics not found
ML25,Kool & The Gang,Steppin' Into Love,"Tonight, tonight, tonight What a lovely feeling, music so appealing Steppin' into love, my baby and I When we start the dancin', we begin romancin' Steppin' into love, my baby and I Steppin' into love tonight Steppin' to the love Music is so thrilling and she is so willing Steppin' into love, my baby and I Every beat's a love song, nothing here can go wrong Steppin' into love, my baby and I Steppin' into love tonight Steppin' to the love Every night we go out and dance There's a chance to increase romance And we know every beat is love Steppin' into love Steppin' into love Every night we go out and dance There's a chance to increase romance And we know every beat is love Steppin' into love Tonight, tonight, tonight The beat is gettin' stronger, we dance a little longer Steppin' into love, my baby and I Steppin' in a small way, says I love her always Steppin' into love, my baby and I Steppin' into love tonight Steppin' into the love, whoa, tonight Every night we go out and dance There's a chance to increase romance And we know every beat is love Steppin' to love Tonight, tonight, tonight, all night"
ML26,Anders Osborne,Darkness At The Bottom,Lyrics not found
ML27,The Rolling Stones,Gimme Shelter,Lyrics not found
ML28,The Rolling Stones,Happy,Lyrics not found
ML29,Bobby Bare,Detroit City,"I wanna go home, I wanna go home Oh, how I wanna go home. Last night I went to sleep in Detroit City And I dreamed about those cottonfields and home I dreamed about my mother dear, old papa, sister and brother I dreamed about that girl who's been waiting for so long I wanna go home, I wanna go home, oh, how I wanna go home. Homefolks think I'm big in Detroit City From the letters that I write they think I'm fine But by day I make the cars, by night I make the bars If only they could read between the lines. 'Cause you know I rode the freight train north to Detroit City And after all these years I find I've just been wastin' my time So I just think I'll take my foolish pride And put it on a Southbound freight and ride. And go on back to the loved ones, the ones that I left waitin' so far behind. I wanna go home, I wanna go home, Oh, how I wanna go home..."
ML30,Gene Watson,Got No Reason Now For Goin' Home,Lyrics not found
ML31,George Strait,El Rey,"Yo se bien que estoy afuera, pero el día que yo me muera Se que tendrás que llorar, dirás que no me quisiste Pero vas a estar muy triste, y así te vas a quedar Con dinero y sin dinero, hago siempre lo que quiero Y mi palabra es la ley, no tengo trono ni reyna Ni nadie que me comprenca, pero sigo siendo el rey Me enseñó que mi destino, era rodar y rodar Despues me dijo un arriero Que no hay que llegar primero Pero hay que saber llegar Con dinero y sin dinero, hago siempre lo que quiero Y mi palabra es la ley, no tengo trono ni reyna Ni nadie que me comprenca, pero sigo siendo el rey"
ML32,Playing For Change,Don't Worry,Lyrics not found
ML33,The Rolling Stones,Melody,Lyrics not found
ML34,Stars,Fixed,"What you want, you are You always were What you want, you are You always were When the plans fall Changing hands What are the chances Of winning? You, you hold my heart You, you won't let up After when I'm caught Touch turns into fisticuffs It's all in your head Wonder if I'm fixed to cut Fake statistics In the collected whole With all the hunger That keeps you climbing walls It's the one thing you can count on We all end floating away We all end floating away You, you hold my heart You, you won't let up After when I'm caught Touch turns into fisticuffs It's all in your head Wonder if I'm fixed to cut Is it your fault? Is it your fault? Is it your fault? Is it your fault? Is it your fault? Is it your fault? Is it your fault? Is it your fault? You You're sinking, so they say You You're finished, so they say You You're buried, so they say You A killer killing fate"
ML35,Glasser,Home,Lyrics not found
ML36,Betty Wright,Where Is The Love,"Where is the love, where is the love you promised me Where is the love, where is the love you promised me You said I could have all your loving And this I wanted it you'd give it to me Now when it's down to the real needing feeling You're hiding that love from me Where is the love, where is the love you promised me (got to know) Where is the love, where is the love you promised me You said I'd be the only one That you'd be giving your sweet love to But somebody must be getting your love 'Cause loving me you just don't do, no, no Where is the love, where is the love you promised me (you know I need it babe) Where is the love, where is the love you promised me I'm waiting on your love now baby, where is your love? I'm hurting for your love now baby, where is your love? Babe, babe, baby, baby, baby, baby, how where is the love? Where is the love, where is the love you promised me (I gotta know) Where is the love, where is the love you promised me Don't tell me you back on your promising baby, I gotta have it, you know I need it You know I want it, I gotta have it baby... Where is the love, gotta know... where is the love... Where is the love you said was mine, I gotta know now, I gotta know now, I gotta know ..."
ML37,Mavis Staples,You Are Not Alone,"You're not alone I'm with you, I'm lonely too What's that song Can't be sung by two? A broken home, a broken heart Isolated and afraid Open up this is a raid I wanna get it through to you You're not alone You're not alone, every night I stand in your place Every tear on every face Tastes the same A broken dream, a broken heart Isolated and afraid Open up this is a raid I wanna get it through to you You're not alone An open hand, an open heart There's no need to be afraid Open up this is a raid I wanna get it through to you You're not alone I wanna get it through to you You're not alone I'm gonna get it through to you You're not alone"
ML38,The Rolling Stones,Not Fade Away,Lyrics not found
ML39,The Beach Boys,God Only Knows,Lyrics not found
ML40,Korn,Blind,"Are you ready?! This place inside my mind, A place I like to hide You don't know the chances. What if I should die?! A place inside my brain, Another kind of pain You don't know the chances. I'm so blind! Another place I find to escape the pain inside You don't know the chances. What if I should die?! A place inside my brain, Another kind of pain You don't know the chances. I'm so blind! Deeper and deeper and deeper as I dream to Live a life that seems to be A lost reality That can never find a way to reach my inner... ...self-esteem is low. How deep can I go in the ground that I lay? If I don't find a way to see through the gray that clouds my mind. This time I look to see what's between the lines! I can't see, I can't see, I'm going blind... [12x] I'm blind [4x]"
ML41,Megadeth,Angry Again,"The more of you that I inspect The more of me I see reflect The more I try to read your lips The more the mask you're wearing rips But when I seek out your voice My ears are overcome with noise You show and tell with greatest ease Raving impossibilities Engaged in crime I grasp my throat Enraged my mind starts to smoke Enforce a mental overload Angry again, angry again, angry Ow! And when the story takes a twist It folds like a contortionist Sleight of hand and quick exchange The old tricks have been rearranged Engaged in crime I grasp my throat Enraged my mind starts to smoke Enforce a mental overload Angry again, angry again, angry The searing of the sinew My body fights for air The ripping of the tissue My lungs begin to tear Gravity's got my bones It pulls my flesh away The steam finally dissipates I make out my sweaty face Association that I choose Game I inevitably lose Governed by laws set up by me Fracture it's jaw to let me be A cut-out cardboard condo maze Filled with an insubordinate race Irrational youths stop to stare As music rubber hosed the air Engaged in crime I grasp my throat Enraged my mind starts to smoke Enforce a mental overload Angry again, angry again, angry again And again and again Again Engaged in crime I grasp my throat Enraged my mind starts to smoke Enforce a mental overload Angry again, angry again, angry Ow!"
ML42,Ra,Do You Call My Name,"(Kill me with a beat) Some people seem to think they always know what's best for you Their little minds try to create a world to keep you still The bolt is strong, the cage is locked, you saw this, don't you lie At first you cry and then you hate those people, stole your will Do as you are told And maybe then we'll let you out You might be dead and cold You might be full of doubt Don't try to escape 'Cause you don't have nowhere to go If nothing is your fate There's no scenario (No nothing) Do you call my name, Do you stain my brain My eyes are blurry and I can't see you anymore Do you call my name Do you breed my pain My heart is bloody and I can't take it anymore So you just sit there stuck, afraid to risk reality Afraid to cause yourself more pain to face insanity But nothing ventured, nothing gained, you see your fear's your cage You beg for help but you're alone stuck in a helpless rage Do as you are told And maybe then we'll let you out You might be dead and cold You might be full of doubt Don't try to escape 'Cause you don't have nowhere to go If nothing is your fate There's no scenario It's me... I see... Please... (Let me out, I'm petrified) Do as you are told And maybe then we'll let you out You might be dead and cold You might be full of doubt Don't try to escape 'Cause you don't have nowhere to go If nothing is your fate There's no scenario (C'mon) [x2] Do you call my name Do you stain my brain My eyes are blurry and I can't see you anymore Do you call my name Do you breed my pain My heart is bloody and I can't take it anymore"
ML43,Avenged Sevenfold,Nightmare,"Nightmare! (Now your nightmare comes to life) Dragged ya down below Down to the devil's show To be his guest forever (Peace of mind is less than never) Hate to twist your mind But God ain't on your side An old acquaintance severed (Burn the world your last endeavor) Flesh is burning You can smell it in the air 'Cause men like you have Such an easy soul to steal (steal) So stand in line while They ink numbers in your head You're now a slave Until the end of time here Nothing stops the madness Turning, haunting, yearning Pull the trigger You should have known The price of evil And it hurts to know That you belong here, yeah Ooh, it's your fuckin' nightmare (While your nightmare comes to life) Can't wake up in sweat 'Cause it ain't over yet Still dancing with your demons (Victim of your own creation) Beyond the will to fight Where all that's wrong is right Where hate don't need a reason (Loathing self-assassination) You've been lied to Just to rape you of your sight And now they have the nerve To tell you how to feel (feel) So sedated as they Medicate your brain And while you slowly Go insane they tell ya ""Given with the best intentions Help you with your complications"" You should have known The price of evil And it hurts to know That you belong here, yeah No one to call Everybody to fear Your tragic fate is looking so clear, yeah Ooh, it's your fuckin' nightmare Fight (fight) Not to fail (fail) Not to fall (fall) Or you'll end up like the others Die (die) Die again (die) Drenched in sin (sin) With no respect for another Down (down) Feel the fire (fire) Feel the hate (hate) Your pain is what we desire Lost (lost) Hit the wall (wall) Watch you crawl (crawl) Such a replaceable liar And I know you hear their voices Calling from above And I know they may seem real These signals of love But our life's made up of choices Some without appeal They took for granted your soul And it's ours now to steal (As your nightmare comes to life) You should have known The price of evil And it hurts to know That you belong here, yeah No one to call Everybody to fear Your tragic fate is looking so clear, yeah Ooh, it's your fuckin' nightmare"
ML44,Mudvayne,Scream With Me,"Ever feel like dying Ever feel alone Ever feel like crying Lost child in a store Ever feel life pushing, shoving you away Ever feel like breaking down, funeral in the rain Feel like slipping away Stand in the corner and scream with me A body full of empty A head that's full of rage, better believe it Stand in the closet and scream with me A mind that's like a fire Driven by the pain, better believe it Ever feel like lying Down inside a grave Listen to the eulogy A buyer of the hate Ever dance beside the devil Taste the barrel of a gauge Ever pull the trigger The light begins to fade Feel like slipping away Stand in the corner and scream with me A body full of empty A head that's full of rage, better believe it Stand in the closet and scream with me A mind that's like a fire Driven by the pain, better believe it I've asked you for forgiveness I've asked you for your grace I've asked you for your blessing I've asked that I be saved Stand in the corner and scream with me A body full of empty A head that's full of rage, better believe it Stand in the corner and scream with me A body full of empty A head that's full of rage, better believe it Stand in the closet and scream with me A mind that's like a fire Driven by the pain, better believe it Stand in the corner and scream with me A body full of empty A head that's full of rage, better believe it Stand in the closet and scream with me A mind that's like a fire Driven by the pain, better believe it"
