Index,Artist,Title,Mood4Q,Mood2Q
ML148,Edwin Starr,War,angry,neg
ML149,Tesla,Love Song,happy,pos
ML150,Andrew Gold,Lonely Boy,sad,neg
ML151,Madonna,Angel,relaxed,pos
ML152,Duran Duran,I Don't Want Your Love,happy,pos
ML153,Alias,More Than Words Can Say,relaxed,pos
ML154,Mr. Mister,Is It Love,happy,pos
ML155,Right Said Fred,I'm Too Sexy,happy,pos
ML156,John Mellencamp,Lonely Ol' Night,sad,neg
ML157,Kenny Loggins,Whenever I Call You Friend ,happy,pos
ML158,The Pointer Sisters,Fire,angry,neg
ML159,Duran Duran,A View To A Kill,angry,neg
ML160,Seals & Crofts,Diamond Girl,relaxed,pos
ML161,April Wine,Just Between You And Me,happy,pos
ML162,Paul McCartney & Wings,My Love,happy,pos
ML163,Nelly Furtado,I'm Like A Bird,relaxed,pos
ML164,The Beatles,Can't Buy Me Love,happy,pos
ML165,Lita Ford,Kiss Me Deadly,happy,pos
ML166,The Trammps,Disco Inferno,angry,neg
ML167,Killswitch Engage,This Fire Burns,angry,neg
ML168,Atreyu,Lip Gloss And Black,angry,neg
ML169,Alkaline Trio,Burn,angry,neg
ML170,Demon Hunter,Lifewar,angry,neg
ML171,Hot Hot Heat,Bandages,sad,neg
ML172,Buzzcocks,Love You More,happy,pos
ML173,Social Distortion,Ring Of Fire,angry,neg
ML174,Streetlight Manifesto,Sick And Sad,sad,neg
ML175,Reel Big Fish,The Fire,angry,neg
ML176,Limp Bizkit,Take A Look Around,angry,neg
ML177,Rancid,The Bravest Kids,angry,neg
ML178,The Clash,White Riot,angry,neg
ML179,Me First & The Gimme Gimmes,Over The Rainbow,relaxed,pos
ML180,The Winans,Uphold Me,happy,pos
ML181,Donnie McClurkin,We Fall Down,sad,neg
ML182,Tonex,God Has Not 4got,happy,pos
ML183,Jonathan Nelson,My Name Is Victory ,happy,pos
ML184,Tamela Mann,Joy Of The Lord,happy,pos
ML185,CeCe Winans,Waging War,angry,neg
ML186,Juanita Bynum,Peace,relaxed,pos
ML187,Vanessa Bell Armstrong,Desire Of My Heart,happy,pos
ML188,B.B. King,The Thrill Is Gone,happy,pos
ML189,The Art Of Noise,Moments In Love,happy,pos
ML190,Norah Jones,Chasing Pirates,sad,neg
ML191,Sade,Never As Good As The First Time,relaxed,pos
ML192,Chaka Khan,Through The Fire,angry,neg
ML193,Alicia Keys,Fallin',happy,pos
ML194,Sade,I Couldn't Love You More,happy,pos
ML195,Sting,It's Probably Me,angry,neg
ML196,Go West,What You Won't Do For Love,happy,pos
ML197,Robin Thicke,Lost Without U,happy,pos
ML198,Sade,No Ordinary Love,happy,pos
ML199,Luther Vandross,Any Love,happy,pos
ML200,Sade,Kiss Of Life,happy,pos
ML201,Jason Mraz,Lucky ,happy,pos
ML202,Kenny G,What A Wonderful World ,relaxed,pos
ML203,Bobby Caldwell,What You Won't Do For Love,happy,pos
ML204,Dave Matthews Band,Crash Into Me,angry,neg
ML205,Michael Buble,Home,relaxed,pos
ML206,Anita Baker,Same Ole Love ,happy,pos
ML207,Enya,Caribbean Blue,relaxed,pos
ML208,Natalie Cole,This Will Be,happy,pos
ML209,Avenged Sevenfold,Scream,angry,neg
ML210,Metallica,Holier Than Thou,sad,neg
ML211,Hail The Villain,Take Back The Fear,angry,neg
ML212,Sick Puppies,Street Fighter ,angry,neg
ML213,Flyleaf,I'm So Sick,sad,neg
ML214,Nirvana,You Know You're Right,angry,neg
ML215,Three Days Grace,Home,relaxed,pos
ML216,Three Days Grace,Animal I Have Become,angry,neg
ML217,Breaking Benjamin,Until The End,angry,neg
ML218,Disturbed,The Game,angry,neg
ML219,Metallica,Seek And Destroy,angry,neg
ML220,Red,Death Of Me,sad,neg
ML221,The Prodigy,Breathe,angry,neg
ML222,Smashing Pumpkins,Disarm,angry,neg
ML223,Soundgarden,Rusty Cage,sad,neg
ML224,Silverchair,Tomorrow,sad,neg
ML225,Rage Against The Machine,Bombtrack,angry,neg
ML226,Taio Cruz,Dirty Picture ,sad,neg
ML227,Baby Bash,That's How I Go ,relaxed,pos
ML228,Baby Bash,Cyclone ,angry,neg
ML229,Baby Bash,Fantasy Girl ,relaxed,pos
ML230,Ivory Joe Hunter,Since I Met You Baby,happy,pos
ML231,Whitney Houston,I Will Always Love You,happy,pos
ML232,Shop Boyz,Party Like A Rock Star,happy,pos
ML233,Lady Gaga,LoveGame,happy,pos
ML234,Mary J. Blige,Real Love,happy,pos
ML235,Chamillionaire,Ridin ,sad,neg
ML236,Keith Sweat,Nobody ,happy,pos
ML237,Juvenile,Slow Motion ,sad,neg
ML238,Mary Wells,What Love Has Joined Together,happy,pos
ML239,Fidel Rueda,Me Encantaria,sad,neg
ML240,Palomo,No Me Conoces Aun,sad,neg
ML241,Los Pikadientes De Caborca,La Cumbia Del Rio,sad,neg
ML242,K-Paz De La Sierra,Volvere,sad,neg
ML243,Chalino Sanchez,Cuatro Espadas,sad,neg
ML244,Banda El Recodo,Pena Tras Pena,sad,neg
ML245,Los Cadetes De Linares,Las Tres Tumbas,sad,neg
ML246,Los Temerarios,Al Otro Lado Del Sol,sad,neg
ML247,Chalino Sanchez,Baraja De Oro ,sad,neg
ML248,Eric Church,Love Your Love The Most,happy,pos
ML249,Tim McGraw,It's Your Love ,happy,pos
ML250,Temple Of The Dog,Hunger Strike,sad,neg
ML251,Eric Clapton,Cocaine,angry,neg
ML252,Soul For Real,Candy Rain,relaxed,pos
ML253,Tank,Sex Music,happy,pos
ML254,Matt Redman,This Is How We Know,happy,pos
ML255,Big Daddy Weave,Just The Way I Am,happy,pos
ML256,Point Of Grace,All The World,relaxed,pos
ML257,Steven Curtis Chapman,All About Love,happy,pos
ML258,Chris Tomlin,Our God,happy,pos
ML259,Steven Curtis Chapman,Not Home Yet,relaxed,pos
ML260,Digital Underground,Kiss You Back,happy,pos
ML261,Mark Ronson,Bang Bang Bang ,sad,neg
ML262,Sting,I Hung My Head,sad,neg
ML263,Carrie Rodriguez,Big Love,happy,pos
ML264,The Secret Sisters,The One I Love Is Gone,relaxed,pos
ML265,Shelby Lynne,Family Tree,sad,neg
ML266,Ra Ra Riot,Foolish,sad,neg
ML267,Nitin Sawhney,Sunset,relaxed,pos
ML268,Sidewalk Prophets,You Can Have Me,happy,pos
ML269,Rebecca St. James,Song Of Love,happy,pos
ML270,Aaron Shust,My Savior My God,happy,pos
ML271,By The Tree,Beautiful One,happy,pos
ML272,Josh Wilson,Before The Morning,angry,neg
ML273,Aaron Shust,Give Me Words To Speak,relaxed,pos
ML274,Jeremy Camp,Take You Back,angry,neg
ML275,Jeremy Camp,Beautiful One,happy,pos
ML276,Rich Mullins,Awesome God,happy,pos
ML277,City On A Hill,God Of Wonders,relaxed,pos
ML278,"Phillips, Craig & Dean",Friend Of God,happy,pos
ML279,Third Day,I've Always Loved You,happy,pos
ML280,Building 429,I Believe ,happy,pos
ML281,DecembeRadio,Love Can,happy,pos
ML282,Avalon,Testify To Love,relaxed,pos
ML283,Sonicflood,I Could Sing Of Your Love Forever,happy,pos
ML284,Nichole Nordeman,Time After Time ,sad,neg
ML285,Marco Antonio Solis,Si No Te Hubieras Ido,sad,neg
ML286,La Sonora Dinamita,Que Nadie Sepa Mi Sufrir,sad,neg
ML287,Grupo Bryndis,Por Estar Pensando En Ti,sad,neg
ML288,Juan Gabriel,Pero Que Necesidad,sad,neg
ML289,Bronco,Oficialmente Loco,sad,neg
ML290,Los Pasteles Verdes,El Solitario,sad,neg
ML291,Ana Barbara,Bandido,sad,neg
ML292,Joan Sebastian,Rumores ,sad,neg
ML293,Jose Jose,Lo Dudo,sad,neg
ML294,Los Mier,Te Amo,sad,neg
ML295,Camilo Sesto,Tarde O Temprano,sad,neg
ML296,Marco Antonio Solis,Amor En Silencio,sad,neg
ML297,Vicente Fernandez,El Rey,sad,neg
ML298,Los Humildes,Vestido Mojado,sad,neg
ML299,Los Bukis,Que Mala,sad,neg
ML300,Joan Sebastian,El Perdedor,sad,neg
ML301,La Mafia,Me Estoy Enamorando,sad,neg
ML302,Banda Machos,Al Gato Y Al Raton,sad,neg
ML303,Joan Sebastian,Sentimental,sad,neg
ML304,Palomo,Baraja De Oro,sad,neg
ML305,The Bee Gees,Night Fever,sad,neg
ML306,Deniece Williams,It's Gonna Take A Miracle,happy,pos
ML307,Wings,Silly Love Songs,happy,pos
ML308,Faith Hill,This Kiss,happy,pos
ML309,Daryl Hall & John Oates,Kiss On My List,happy,pos
ML310,Celine Dion,My Heart Will Go On,happy,pos
ML311,Cher,Believe,happy,pos
ML312,Backstreet Boys,I Want It That Way,angry,neg
ML313,Lil Wayne,On Fire,angry,neg
ML314,Kylie,All The Lovers,angry,neg
ML315,Chromeo,Don't Turn The Lights On,sad,neg
ML316,Rockell,In A Dream,happy,pos
ML317,Infernal,From Paris To Berlin,happy,pos
ML318,Ministry,Everyday Is Halloween,angry,neg
ML319,Ferry Corsten,Fire,angry,neg
ML320,Yves Larock,Rise Up,relaxed,pos
ML321,Angel City,Love Me Right ,happy,pos
ML322,MercyMe,Bless Me Indeed,relaxed,pos
ML323,Aaron Shust,Watch Over Me,sad,neg
ML324,Pocket Full Of Rocks,Song To The King,happy,pos
ML325,The Museum,Never Look Away,angry,neg
ML326,Brandon Heath,Love Never Fails,happy,pos
ML327,Above The Golden State,I'll Love You So,happy,pos
ML328,Jars Of Clay,They'll Know We Are Christians By Our Love,happy,pos
ML329,Mark Schultz,Love Has Come,happy,pos
ML330,Robbie Seay Band,Song Of Hope ,happy,pos
ML331,Matt Brouwer,Sometimes,angry,neg
ML332,Third Day,I Believe,happy,pos
ML333,Fee,Glory To God Forever,happy,pos
ML334,Sade,Somebody Already Broke My Heart,angry,neg
ML335,Al Green,I'm Still In Love With You,happy,pos
ML336,Phil Collins,Another Day In Paradise,relaxed,pos
ML337,Jonathan Butler,So Strong,happy,pos
ML338,The Cardigans,Lovefool,happy,pos
ML339,Ryan Star,Start A Fire,angry,neg
ML340,Dido,Hunter,relaxed,pos
ML341,R.E.M.,Shiny Happy People,happy,pos
ML342,Evanescence,My Immortal,angry,neg
ML343,Michelle Branch,All You Wanted,sad,neg
ML344,Tonic,You Wanted More,happy,pos
ML345,Fontella Bass,Rescue Me,happy,pos
ML346,The Beach Boys,Wouldn't It Be Nice,relaxed,pos
ML347,Three Dog Night,An Old Fashioned Love Song,happy,pos
ML348,The Beatles,Here Comes The Sun,relaxed,pos
ML349,Billy Joel,Uptown Girl,relaxed,pos
ML350,The Beatles,Love Me Do ,happy,pos
ML351,The Beatles,In My Life,happy,pos
ML352,The Beatles,All You Need Is Love,happy,pos
ML353,Johnny Nash,I Can See Clearly Now,relaxed,pos
ML354,Three Dog Night,Joy To The World,happy,pos
ML355,Ringo Starr,It Don't Come Easy,relaxed,pos
ML356,Shontelle,Perfect Nightmare,angry,neg
ML357,Ke$ha,Your Love Is My Drug,happy,pos
ML358,Shenandoah,I Want To Be Loved Like That,happy,pos
ML359,George Strait,Baby Blue,relaxed,pos
ML360,Porter Wagoner,"Green, Green Grass Of Home",relaxed,pos
ML361,John Anderson,Wild And Blue,relaxed,pos
ML362,Merle Haggard,Rainbow Stew,relaxed,pos
ML363,Juice Newton,Angel Of The Morning,relaxed,pos
ML364,Randy Travis,If I Didn't Have You,sad,neg
ML365,Johnny Cash,Ring Of Fire,angry,neg
ML366,Willie Nelson,Always On My Mind,relaxed,pos
ML367,Dwight Yoakam,Honky Tonk Man,relaxed,pos
ML368,Mark Chesnutt,Brother Jukebox,relaxed,pos
ML369,Cavo,Blame,sad,neg
ML370,Sammy Hagar,I Don't Need Love,happy,pos
ML371,Alice Cooper,School's Out,sad,neg
ML372,Kiss,Do You Love Me?,happy,pos
ML373,Led Zeppelin,Nobody's Fault But Mine,sad,neg
ML374,ZZ Top,Blue Jean Blues,relaxed,pos
ML375,Thirty Seconds To Mars,This Is War,angry,neg
ML376,311,Lovesong,happy,pos
ML377,Marilyn Manson,Tainted Love,happy,pos
ML378,Muse,Supermassive Black Hole,sad,neg
ML379,Three Days Grace,Pain,angry,neg
ML380,The Cult,Fire Woman,angry,neg
ML381,Nirvana,Polly,sad,neg
ML382,Stone Temple Pilots,Unglued,sad,neg
ML383,Jimmy Eat World,Pain,angry,neg
ML384,Blink-182,I Miss You,sad,neg
ML385,Cake,Sick Of You,sad,neg
ML386,Metric,Eclipse ,angry,neg
ML387,Cake,War Pigs,angry,neg
ML388,Marilyn Manson,The Fight Song,angry,neg
ML389,Muse,Map Of The Problematique,sad,neg
ML390,The Temptations,I Want A Love I Can See,happy,pos
ML391,Alejandro Fernandez,Matalas,sad,neg
ML392,Mary J. Blige,I Love You,happy,pos
ML393,Liquits,Desde Que,sad,neg
ML394,Pedro Infante,Luna De Octubre,sad,neg
ML395,Bobby Vinton,Mr. Lonely,sad,neg
ML396,Tommy James & The Shondells,Crystal Blue Persuasion,relaxed,pos
ML397,Victor Manuelle,Nunca Habia Llorado Asi ,sad,neg
ML398,Ian Van Dahl,Will I,happy,pos
ML399,Kosheen,Hide U,angry,neg
ML400,Ronnie Milsap,Stranger In My House,relaxed,pos
ML401,Hank Williams,Your Cheatin' Heart,relaxed,pos
ML402,Mark Chesnutt,Your Love Is A Miracle,happy,pos
ML403,Dolly Parton,Real Love,happy,pos
ML404,Patty Loveless,I'm That Kind Of Girl,relaxed,pos
ML405,The Marshall Tucker Band,Heard It In A Love Song,happy,pos
ML406,T. Graham Brown,I Tell It Like It Used To Be,happy,pos
ML407,Marty Stuart,Burn Me Down,angry,neg
ML408,George Strait,Let's Fall To Pieces Together,sad,neg
ML409,Sammi Smith,Help Me Make It Through The Night,sad,neg
ML410,Dolly Parton,Love Is Like A Butterfly,relaxed,pos
ML411,Dolly Parton,I Will Always Love You,happy,pos
ML412,Emmylou Harris,Queen Of The Silver Dollar,relaxed,pos
ML413,Earl Thomas Conley,I Can't Win For Losin' You,happy,pos
ML414,Charley Pride,Kiss An Angel Good Mornin',happy,pos
ML415,The Judds,Love Can Build A Bridge,happy,pos
ML416,Jack Ingram,Mustang Burn,angry,neg
ML417,George Strait,True,relaxed,pos
ML418,Vince Gill,When I Call Your Name,sad,neg
ML419,Alabama,Old Flame,angry,neg
ML420,Dwight Yoakam,Please Please Baby,relaxed,pos
ML421,Eddie Rabbitt,You And I,happy,pos
ML422,Dwight Yoakam,Ain't That Lonely Yet,sad,neg
ML423,Jonatha Brooke,Little Bird,relaxed,pos
ML424,Quincy Jones,Killer Joe,sad,neg
ML425,Roberta Flack & Donny Hathaway,Where Is The Love,happy,pos
ML426,Jon B.,Someone To Love ,happy,pos
ML427,Jack Ingram,Love You,happy,pos
ML428,Taylor Dayne,I'll Always Love You,happy,pos
ML429,Santana,Whole Lotta Love ,happy,pos
ML430,Soundgarden,Let Me Drown,angry,neg
ML431,Alice Cooper,Poison,angry,neg
ML432,Dokken,Alone Again,sad,neg
ML433,Iron Maiden,Phantom Of The Opera,sad,neg
ML434,Scorpions,Animal Magnetism,happy,pos
ML435,Black Sabbath,The Devil Cried,angry,neg
ML436,The Who,Long Live Rock,sad,neg
ML437,Led Zeppelin,Bring It On Home,relaxed,pos
ML438,Scorpions,Coming Home,relaxed,pos
ML439,Brian McKnight,Love Of My Life,happy,pos
ML440,Lionel Richie,Penny Lover,happy,pos
ML441,Lisa Stansfield,Change,happy,pos
ML442,Celine Dion,Love Can Move Mountains,happy,pos
ML443,Jah Cure,Love Is,happy,pos
ML444,Jody Watley,Looking For A New Love,happy,pos
ML445,Bobby Darin,Dream Lover,relaxed,pos
ML446,The Archies,"Sugar, Sugar",relaxed,pos
ML447,Gwen Mccrae,Rockin' Chair,relaxed,pos
ML448,Whitney Houston,You Give Good Love,happy,pos
ML449,Paul Anka,Puppy Love,happy,pos
ML450,Harold Melvin & The Blue Notes,Don't Leave Me This Way,happy,pos
ML451,Gyptian,Beautiful Lady,relaxed,pos
ML452,Bob Marley & The Wailers,So Much Trouble In The World,angry,neg
ML453,Donna Summer,Love To Love You Baby,happy,pos
ML454,Donna Summer,I Feel Love,happy,pos
ML455,New Edition,Lost In Love,happy,pos
ML456,Duane Stephenson,Cottage In Negril,relaxed,pos
ML457,Beyonce,Dangerously In Love,happy,pos
ML458,Rihanna,Russian Roulette,angry,neg
ML459,Michael Jackson,Gone Too Soon,relaxed,pos
ML460,Shania Twain,From This Moment On,relaxed,pos
ML461,Julio Iglesias,My Love,happy,pos
ML462,"Phillips, Craig & Dean",You Are God Alone,happy,pos
ML463,Matt Brouwer,"Father, I Adore You",happy,pos
ML464,Counting Crows,Accidentally In Love,happy,pos
ML465,Fistful Of Mercy,Father's Son,sad,neg
ML466,Greg Laswell,Take Everything ,relaxed,pos
ML467,A Flock Of Seagulls,Space Age Love Song,happy,pos
ML468,Peter Gabriel,Shock The Monkey,sad,neg
ML469,Los Tigres Del Norte,Jose Perez Leon,sad,neg
ML470,The Beatles,P.S. I Love You,happy,pos
ML471,Portugal. The Man,People Say,angry,neg
ML472,Concrete Blonde,Joey,angry,neg
ML473,Bruce Springsteen,I'm On Fire,angry,neg
ML474,Sufjan Stevens,Vesuvius,angry,neg
ML475,Fastball,Out Of My Head,sad,neg
ML476,Dire Straits,So Far Away,relaxed,pos
ML477,Train,Cab,sad,neg
ML478,Blind Faith,Can't Find My Way Home,relaxed,pos
ML479,Dave Matthews Band,Everyday,happy,pos
ML480,Pete Droge & The Sinners,Beautiful Girl,relaxed,pos
ML481,Roxy Music,Jealous Guy,angry,neg
ML482,Shawn Colvin,Get Out Of This House,relaxed,pos
ML483,U2,Window In The Skies,happy,pos
ML484,Mark Schultz,Love Has Come,happy,pos
ML485,Sidewalk Prophets,You Can Have Me,happy,pos
ML486,Josh Wilson,Before The Morning,angry,neg
ML487,Brandon Heath,Your Love,happy,pos
ML488,Jeremy Camp,Take You Back,angry,neg
ML489,Third Day,God Of Wonders,relaxed,pos
ML490,The Georgia Mass Choir,Joy,happy,pos
ML491,Stevie Wonder,Lookin' For Another Pure Love,happy,pos
ML492,Jody Watley,Real Love,happy,pos
ML493,Chet Baker,Let's Get Lost,angry,neg
ML494,Nina Simone,Feeling Good,relaxed,pos
ML495,Mel Torme,Comin' Home Baby,relaxed,pos
ML496,Freddie Hubbard,Red Clay,happy,pos
ML497,Cassandra Wilson,Time After Time,sad,neg
ML498,Patrice Rushen,Remind Me,happy,pos
ML499,Curtis Mayfield,Give Me Your Love ,happy,pos
ML500,Chayanne,Tu Boca,sad,neg
ML501,Jeremias,Hay Un Amor Afuera,sad,neg
ML502,David Bisbal,Esclavo De Sus Besos,sad,neg
ML503,Darlene Zschech,Call Upon His Name ,relaxed,pos
ML504,Aaron Shust,To God Alone,happy,pos
ML505,Laura Story,What A Savior,happy,pos
ML506,Darrell Evans,Trading My Sorrows,angry,neg
ML507,Newsong,My Heart's Already There,happy,pos
ML508,Britt Nicole,The Lost Get Found,angry,neg
ML509,Jadon Lavik,Hear Our Song,happy,pos
ML510,The Afters,All That I Am,happy,pos
ML511,Todd Agnew,Joy Unspeakable,happy,pos
ML512,Norman Hutchins,Get Ready For Your Miracle,happy,pos
ML513,Diana Krall,You're My Thrill,happy,pos
ML514,Jonathan Butler,Color Green,relaxed,pos
ML515,John Coltrane,Acknowledgement,happy,pos
ML516,Seether,Driven Under,angry,neg
ML517,Soundgarden,Rhinosaur,sad,neg
ML518,Metallica,Fight Fire With Fire,angry,neg
ML519,Deftones,You've Seen the Butcher,sad,neg
ML520,Velvet Revolver,Fall To Pieces,sad,neg
ML521,Puddle Of Mudd,Away From Me,angry,neg
ML522,Staind,Home,angry,neg
ML523,Pearl Jam,Glorified G,angry,neg
ML524,Alex Bueno,Que Vuelva,sad,neg
ML525,Los Iracundos,Y Te Has Quedado Sola,sad,neg
ML526,Moenia,Ni Tu Ni Nadie,sad,neg
ML527,David Guetta,On The Dancefloor ,angry,neg
ML528,Los Cadetes De Linares,El Palomito,sad,neg
ML529,La Oreja De Van Gogh,Vestido Azul,sad,neg
ML530,Paulina Rubio,Algo De Ti,sad,neg
ML531,Fred Hammond & Radical For Christ,I Will Bless His Holy Name,relaxed,pos
ML532,Whitney Houston,Joy ,happy,pos
