emotion,lyrics
sad," Well I walk upon the river like it's easier than land Evil's in my pocket and your will is in my hand Oh, your will is in my hand And I'll throw it in the current that I stand upon so still Love is all, from what I've heard, but my heart's learned to kill Oh, mine has learned to kill   Oh, I said I could rise From the harness of our goals Here come the tears But like always, I let them go Just let them go   And now spikes will keep on falling from the heavens to the floor The future was our skin and now we don't dream anymore No, we don't dream anymore Like a house made from spider webs and the clouds rolling in I bet this mighty river's both my savior and my sin Oh, my savior and my sin   Oh, I said I could rise From the harness of our goals Here come the tears But like always, I let them go Just let them go   Well I walk upon the river like it's easier than land Evil's in my pocket and your strength is in my hand Your strength is in my hand And I'll throw you in the current that I stand upon so still Love is all, from what I've heard, but my heart's learned to kill Oh, mine has learned to kill   Oh, I said I could rise From the harness of our goals Here come the tears But like always, I let them go Just let them go"
angry," If I am silent, then I am not real If I speak up, then no one will hear If I wear a mask, there's somewhere to hide   Silence is golden I have been broken Safe in my own skin So nobody wins   If I raise my voice, will someone get hurt? And if I can't feel, then I won't get touched If no truths are spoken, then no lies can hide   Silence is golden I have been broken Safe in my own skin So nobody wins Silence is golden Nobody gets in Safe in my own skin So nobody wins   Did you hear me speak? Do you understand? Did you hear my voice? Will you hold my hand? Do you understand me?   Won't someone listen? Nobody gets in My body's a temple But nothing is simple Silence is golden I have been broken Something was stolen Safe in my own skin Safe in my own skin Won't someone listen? My body's a temple But nothing is simple My body's a temple But nothing is simple Something was stolen I have been broken I have been broken Silence is golden I have been broken Safe in my own skin"
relaxed," Half a mile from the county fair And the rain came pourin' down Me and Billy standin' there With a silver half a crown Hands are full of fishin' rods And the tackle on our backs We just stood there gettin' wet With our backs against the fence   Oh, the water Oh, the water Oh, the water Hope it don't rain all day   And it stoned me to my soul Stoned me just like Jelly Roll And it stoned me And it stoned me to my soul Stoned me just like going home And it stoned me   Then the rain let up and the sun came up And we were gettin' dry Almost let a pick-up truck nearly pass us by So we jumped right in and the driver grinned And he dropped us up the road And we looked at the swim and we jumped right in Not to mention fishing poles   Oh, the water Oh, the water Oh, the water Let it run all over me   Well it stoned me to my soul Stoned me just like Jelly Roll And it stoned me And it stoned me to my soul Stoned me just like going home And it stoned me     On the way back home we sang a song But our throats were getting dry Then we saw the man from across the road With the sunshine in his eyes Well he lived all alone in his own little home With a great big gallon jar There were bottles too, one for me and you And he said ""Hey! There you are""   Oh, the water Oh, the water Oh, the water Get it myself from the mountain stream   Well it stoned me to my soul Stoned me just like Jelly Roll And it stoned me And it stoned me to my soul Stoned me just like going home And it stoned me  Well it stoned me to my soul Stoned me just like Jelly Roll And it stoned me And it stoned me to my soul Stoned me just like going home And it stoned me"
happy," Man tend a next shot of tequila The vibes tonight yeah, so sweet yah I man spot this sweet senorita We a bounce to the bass and di tweeter She look, muy bonita The way she move remind me of Selena  : She rock so, she dip so She wanna dance to reggae and calypso Look how the dress hug up pon her hips so Look how she move fast and a do it slow Muy bonita Mamacita  : Gal whine let me come behind yuh Eh! Me make she feel alright Woulda dance all night if yuh want to Eh! 'Till a mornin light Love how you feel in front a me so Gal, let me hold you tight   Look deh, a pure death in the arena Number one gal, prima ballerina Little girl, how u fi come in here She nuh drink, only smoke sensimilla She look, muy bonita You nuh see it, that a my Mona Lisa     (x2)       (x2)"
angry," I've been away, searching for a reason Another purpose to find I've sailed the seas, fought my many demons I've looked to gods in the skies I've stood in hell, where many had to suffer I stared the devil in the eyes Walked many roads to witness ancient idols And found the great gates of fire   Had many storms, question my conviction Gave armies reason to rise The hangman's searching, for bones he can borrow While I escaped in the night, fight or flight   Live again, all roads end I'll be coming home Tend your light, 'cause on this night I'll be coming home   Escaped the hail of calculated mortars Then drank the blood of a king The desert rain has washed away direction Had angels looking after me So it seems   Live again, all roads end I'll be coming home Tend your light, 'cause on this night I'll be coming home   My story ends, not far from where it started My weary limbs have grown old I've seen the world through the eyes of a nomad Home is where the heart is I've been told So I go   Live again, all roads end I'll be coming home Tend your light, 'cause on this night I'll be coming home   I'm coming home I'm coming home I'm coming home I'm coming home"
sad," I'm not afraid of anything I just need to know that I can breathe And I don't need much of anything But suddenly, suddenly I am small and the world is big All around me is fast moving Surrounded by so many things But suddenly, suddenly   How does it feel to be Different from me? Are we the same? How does it feel to be Different from me? Are we the same? How does it feel?   I'm young and I am free But I get tired and I get weak I get lost and I can't sleep (I can't sleep) But suddenly, suddenly   How does it feel to be (To be) Different from me? Are we the same? How does it feel to be (To be) Different from me? Are we the same? How does it feel?   Would you comfort me? Would you cry with me? Ah-ah-ah, ah-ah Ah-ah, ah-ah Ah-ah-ah, ah-ah Ah-ah, ah-ah I am small and the world is big But I'm not afraid of anything   How does it feel to be (To be) Different from me? Are we the same? How does it feel to be (To be) Different from me? Are we the same? How does it feel to be (To be) Different from me? Are we the same? How does it feel to be (To be) Different from me? Are we the same?   Ah-ah-ah, ah-ah Ah-ah Ah-ah-ah, ah-ah Ah-ah   How does it feel? How does it feel? You're different from me, different How does it feel? How does it feel? You're different from me, different How does it feel? How does it feel? You're different from me, different How does it feel? How does it feel? You're different from me"
relaxed, The sun shines high above The sounds of laughter The birds swoop down upon The crosses of old grey churches We say that we're in love While secretly wishing for rain Sipping Coke and playing games September's here again September's here again
sad," I don't belong here I never saw this on the path I walk The blood-stained walls, the lines of chalk on the floor It's getting so hard I never saw the backlash when the tide began to rise I can't remember The way it was when everything felt right My mouth held shut and eyes sealed tight with control   So I remember on the inside (I found) A dark infernal place I don't want to face any more (Somehow) I won't stop feeding the pain, my heart's just the same as before (I found) A dark infernal place I don't want to face any more And somehow...   So now I'm stuck here Between the guilty and the insincere The words I've spoke have left me here all alone I should have known this I never saw the backlash when the tide began to rise I wish it all gone I could have burned it when I had that choice Now I'd die to kill this noise in my head   So I remember on the inside (I found) A dark infernal place I don't want to face any more (Somehow) I won't stop feeding the pain, my heart's just the same as before (I found) A dark infernal place I don't want to face any more And somehow...   So I remember on the inside, the inside   If this is all the love my spirit can give There is not a reason more to live If this is all the love my spirit can give (Just take it back tonight) There is not a reason more to live If this is all the love my spirit can give (Just take it back tonight) There is not a reason more to live If this is all the love my spirit can give (Just take it back tonight) There is not a reason more to live If this is all the love my spirit can give (Just take it back tonight) There is not a reason more to live If this is all the love my spirit can give (Just take it back tonight) There is not a reason more to live If this is all the love my spirit can give (Just take it back tonight) There is not a reason more to live If this is all the love my spirit can give (Just take it back tonight) There is not a reason more to live"
sad,"You can cut my heart in sections And I'll show you no objection Cause it's better than being alone It's better than being alone And there's a strange elation In your subtle assassination I thought I saw a glimmer of hope I thought I saw a glimmer of hope  But I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down)  I could stay here in the middle And speak to you in riddles But I'd rather just feel the burn I'd rather feel the burn So you can strike me with your matches And scatter me like ashes Your little angel playing in your dirt  But I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down)  Some things I keep to myself Some things are better left unsaid And sometimes I feel like this could break me in half Still some things I'll never, ever tell  But I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down) I don't think that you could ever understand (And the rain keeps falling down)  And I will let you chain me down for a while And I will let you wear my crown for a while"
angry," The sun rises to another day My constitution keeps changing till it slips away So I lie awake and stare My mind thinking, just wondering does anybody care   Should I stay or go? Should I sleep or stay awake? Am I really happy or is it all Just an illusion?   Sitting in my room now Hiding thoughts, just hoping one day I'll get out I hear a voice call my name Breaking trance so silent, so I can stay the same     Wait now, many things are left unsaid This life remains the same but I change I try to fool myself in believing Things are going to get better but life goes on     Just an illusion"
relaxed," Give me a reason to stay constantly ignored Give me an angle that I haven't tried before A guarantee for being honestly compaired You want to live when life is achingly unfair   Don't make a move, you'll look ridiculous again We share no interest but it's easy to pretend Don't start the action, it will turn against you soon No one is going to follow and you'll stand there like a fool   You left the people when the people left you out Back in the suburbs you're craving for the crowd Only minded now with defeats of yesterday The mantra spinning in your head will keep it raised   Give me a reason to stay constantly ignored (I don't think I can) Give me an angle that I haven't tried before (Not from where I stand) A guarantee for being honestly compaired (Could not be found) You want to live when life is achingly unfair (Stick around)  Don't give up Don't give up Don't give up"
sad,"Let me taste Let me feel I need to know what you keep inside No need to speak Just let it be Carry out this wish for me let nothing interfere  Rise to submission I'm still beneath in the soil  Discard your clothes Let loose you hair We're intertwined forever and have always been Say the word And I'll depart Upon your lips dwells nothing but the meaning of my cause  Rise to submission I'm still beneath in the soil  And so comes the dark Vibrant as ever before Flowers already withered In this endless winter of souls  Outside in the park The days move along And nothing ever changes They have nothing on us And we've always knew That nothing ever changes  Rise to submission I'm still beneath in the soil This is ours alone Feeding off the warmth Lured out from inside  Depending on the life blood  Rise to submission I'm still beneath in the soil This is ours alone Feeding off the warmth Lured out from inside  Silently Whispering Move in me and set me free  ""Htaed otni yaw eht dael Won resolc Peels rof gnol Gnivael dna Yawa gnidaf  Tuohtiw Od Nac I Tahw Em Gniwohs Thgil Laerehte Raeppasid Dna Edaf Sruoloc Ecnart Gnihtoos"""
angry,"I've shed these tears a hundred times The bottles are broken, my well runs dry All these painful words make this much harder You have no place here, I've left and so should you, should you  These chains that bound me from this place Tonight is the last night you will see my face Left alone I've wandered in this place all night This has to be the only way to make this right Surely if I fell from these...  These chains that bound me from this place Tonight is the last night you will see my face Left alone I've wandered in this place all night This has to be the only way to make this right Surely if I fell from these...  I've held these tears a hundred times The bottles are full and its my time to shine Would you believe me if I told you... It was my time to die I've wished for this all night So show yourself, I will fight, I will fight  Come at me with everything with everything you're made of Come at with everything you've got  Come at me with everything with everything you're made of Come at with everything you've got  All my life, I've waited for the day When I could just drive And get away from this place I need to get away from this place I know that I am better than this I know that I am better than this"
angry,"   There goes the siren that warns of the air raid There comes the sound of the guns sending flak Out for the scramble, we've got to get airborne Got to get up for the coming attack Jump in the cockpit and start up the engines Remove all the wheel blocks There's no time to waste Gathering speed as we head down the runway Got to get airborne before it's too late   Running, scrambling, flying Rolling, turning, diving, going in again Running, scrambling, flying Rolling, turning, diving Run, live to fly, fly to live, do or die Won't you run, live to fly, fly to live, aces high      Move in to fire at the mainstream of bombers Let off a sharp burst and then turn away Roll over, spin round to come in behind them Move to their blindsides and firing again Bandits at 8 o'clock move in behind us Ten ME-109s out of the sun Ascending and turning our Spitfires to face them Heading straight for them I press down my guns   Rolling, turning, diving Rolling, turning, diving, doing it again Rolling, turning, diving Rolling, turning, diving Run, live to fly, fly to live, do or die Won't you run, live to fly, fly to live, aces high"
relaxed,The prettiest thing I ever did see Was lightning from the top of a cloud Moving through the dark A million miles an hour with somewhere to be  So why does it seem like a picture That's hangin' up on someone else's wall? Lately I just haven't been myself at all It's heavy on my mind  And I'm dreamin' again Like I've always been Way down low I still know  That the prettiest thing I ever did see Was dusty as the handle on the door Rusty as a nail stuck in the old pine floor It looks like home to me  Now I'm dreamin' again Like I've always been Way down low Thinkin' of the prettiest thing  Dreamin' Dreamin'
relaxed,The wind stands still around you And suddenly i'm trembling and I don't know why There's something deep about you That echoes in my mind  Mystifying feelings Running round in my brain Love is all around me And it's written in your name Love is all around me And it's written in your name  The wind stands still around you And in your eyes the light inside you shines If souls collide in heaven Why not in present time ?  Words just can't convey it Silence means no need to explain Love is all around me And it's written in your name Love is all around me And it's written in your name  I am overcome What a strange thing you have done From now on my life has change Nothing now can be the same  Love is all around me Love is all around me And it's written in your name Love is all around me And it's written in your name
angry," Myth or legend Nymph tale washed ashore Near the kraken sleepeth stirs coral and bone Infinite city No sexy sneer Hideous creation Human and animal Banter songs of rudeness to be adhered Not on rocks that glisten Harps to listen Comb hair Tear right to pieces Left to recess a watery grave   Sensing the blood of prey Swimming in fear for life   Rolling over, falling into jaws Teeth that chatter, it distracts them all The Fiji mermaid, she will let it know Time is coming to feed and gnaw  "
relaxed,Butterflies Gravity pulls me into Anticipate our first touch Sweet and so new Let's figure out how to make this forever Oh this is making me crazy  Hey love I am at the point of no restraint Let's just make a move and feel the earth quake  It's just you and me And no one else It's just you and me You and me  Slowly now We shouldn't let this go too fast Bring me out of this shell Take off my mask This is us intertwined and on fire I cannot stop I'm consumed with desire
happy,"I made love to ya all night long Then I got up to write you a song I watched ya sleep and I fell in love Ya must've been sent from heaven above Don't think you could never do no wrong  Then you farted.... Oh girl you farted..  First I thought that it was kinda cute I suppressed a smile when I heard your girly poot Then came the smell came whoftin by And brought a little tear drop to my eye I think that I'll go sleep out on the couch  'Cause you farted...  You could make milk curdle Make your skin crawl Make the paint peal off of the wall I won't sleep under the covers no more Since the hot winds blew from out your back door  Baby, it sure has been a gas But I can't live life in fear of your ass So I gathered up my clothes and old dog bill Moved back to my house at the top of the hill Well old boy I guess its just you and me  Then he farted....."
sad," Mary is my bright red star She caught the train to work in the morning when she got up And then she'd call me up, just to wake me up But she's alright She's alright   Mary is my bright red star She likes to look at the pink sky just before the day turns dark And then she'd call me up, just to wind me up But she's alright She's alright   Mary is my bright red star She wears a hat in the sun, pink nails and her bleach blond locks And then she'd call me up, so we could meet up But she is alright She's alright   Mary is my bright red star We just talk into the night about nothing in particular And then she'd hang me up, until she'd wake me up But she's alright She's alright She's alright She's alright"
happy,"Lip up fatty, ah lip up fatty, for the reggae Lip up fatty, ah lip up fatty, for the reggae Listen to the music, shuffle up your feet Listen to the music of the fatty beat Moving with the rhythm, sweating with the heat Moving with the rhythm of the fatty beat Lip up fatty, ah lip up fatty, for the reggae Trumpeet Listen to the music, shuffle up your feet Listen to the music of the fatty beat Lip up fatty, ah lip up fatty, for the reggae Trumpeet Lip up fatty, ah lip up fatty, for the reggae Don?t call me fat man Lip up fatty, ah lip up fatty, for the reggae Fat man don?t like you"
angry," We are young, but we have heart Born in this world as it all falls apart We are strong, but we don't belong Born in this world as it all falls apart   I see the children in the rain like the parade before the pain I see the love, I see the hate, I see this world that we can make I see the life, I see the sky, I'd give it all to see you fly Yes, we wave this flag of hatred, but you're the ones who made it I watch the beauty of all our lives, passing right before my eyes I hear the hate in all your words, all the words to make us hurt We get so sick, we're so sick, we never wanted all this Medication for the kids with no reason to live   So we march to the drums of the damned as we come Watch it burn in the sun, we are numb   We are young, but we have heart Born in this world as it all falls apart We are strong, but we don't belong Born in this world as it all falls apart   As we walk among these shadows in these streets, these fields of battle Take it up, we wear the mantle, raise your hands with burning candles Hear us whisper in the dark; in the rain, you see the spark Feel the beating of our hearts, fleeting hope as we depart All together, walk alone against all we've ever known All we've ever really wanted was a place to call our home But you take all we are, the innocence of our hearts Made to kneel before the altar as you tear us apart   So we march to the drums of the damned as we come Watch it burn in the sun, we are numb   We are young, but we have heart Born in this world as it all falls apart We are strong, but we don't belong Born in this world as it all falls apart   We will fight, or we will fall Till the angels save us all We will fight, or we will fall Till the angels save us all We will fight, or we will fall Till the angels save us all We will fight, or we will fall Till the angels save us all   We are young, but we have heart Born in this world as it all falls apart We are strong, but we don't belong Born in this world as it all falls apart We are young, but we have heart Born in this world as it all falls apart We are strong, but we don't belong Born in this world as it all falls apart"
relaxed,Bought this guitar At a shop called mars But on the way back home Strange things happened in my car Started to play All by itself Creatures jumped from The highest shelf Until I touched string 12 This magnificent tree Appeared in my mind Even without leaves ITS strength was divine Synthesized gnomes Penetrated this godly zone Summer was thrown off ITS royal THRONE This magnificent tree Appeared in my mind Even without leaves ITS strength was divine
relaxed,Cross the lines down shifting lights Catch it's breath a stream of life The tallest trees stretch to the sea And to the edge where shadows meet A quiet place and nature's way A season comes and whispers life Still born again into golden dreams A Hiding place beneath blue skies Cross the lines down shifting lights Catch it's breath a stream of life The tallest trees stretch to the sea And to the edge where shadows meet
sad," Well they blew up the chicken man in Philly last night Now they blew up his house too Down on the boardwalk they're gettin' ready for a fight Gonna see what them racket boys can do Now there's trouble busin' in from outta state And the D.A. can't get no relief Gonna be a rumble out on the promenade And the gamblin' commission's hangin' on by the skin of its teeth   Well now everything dies baby that's a fact But maybe everything that dies someday comes back Put your makeup on, fix your hair up pretty And meet me tonight in Atlantic City   Well I got a job and tried to put my money away But I got debts that no honest man can pay So I drew what I had from the Central Trust And I bought us two tickets on that Coast City bus   Well now everything dies baby that's a fact But maybe everything that dies someday comes back Put your makeup on, fix your hair up pretty And meet me tonight in Atlantic City   Now our luck may have died and our love may be cold but With you forever I'll stay We're goin' out where the sand's turnin' to gold So put on your stockings baby Cause the night's getting cold And everything dies baby that's a fact But maybe everything that dies someday comes back   Now I been lookin' for a job but it's hard to find Down here it's just winners and losers And don't get caught on the wrong side of that line Well I'm tired of comin' out on the losin' end So honey last night I met this guy and I'm gonna do a little favor for him   Well now everything dies baby that's a fact But maybe everything that dies someday comes back Put your makeup on, fix your hair up pretty And meet me tonight in Atlantic City"
sad,You've got me so confused and there's word I could use But I'm afraid to say them I feel I've been had and i'm boiling mad  Still I can't live without you You don't have the time and you won't spend a dime Not even to call me You don't know I exist and I wouldn't be missed If I had the nerve to quit you  Invisible - I feel like I'm invisible You treat me like I'm not really there And you don't really care I know this romance It ain't going nowhere Invisible just like my love. You treat me like I'm invisible When you get the need to flirt you do your worst  You just don't care how much it hurts  I can never reach you on the phone It rings and rings But I know you're home It may be naive but I just want to believe I'm the only one I tell myself lies and give you alibies  Knowing your promises you'll never keep Like the merry go round  I'm going up I'm going down I'm on a dead end street  Invisible just like my love I feel like I'm invisible You treat me like I'm not really there And you don't really care I know this romance It ain't going nowhere Although I know it's not a lot Don't want to lose whatever we got I keep hanging on knowing I can't win 'Cause it's too hard start over again Invisible - I feellike I'm invisible... Invisible just like my love
happy,"When you attend a funeral It is sad to think that sooner or Later those you love will do the same for you And you may have thought it tragic (Not to mention other adjec- -tives) to think of all the weeping they will do But don't you worry  No more ashes, no more sackcloth And an arm band made of black cloth Will some day nevermore adorn a sleeve For if the bomb that drops on you Gets your friends and neighbors too There'll be nobody left behind to grieve  And we will all go together when we go What a comforting fact that is to know Universal bereavement - An inspiring achievement! Yes, we all will go together when we go  We will all go together when we go All suffused with an incandescent glow No one will have the endurance To collect on his insurance Lloyd's of London will be loaded when they go  Oh we will all fry together when we fry We'll be French-fried potatoes by-and-by There will be no more misery When the world is our rotisserie Yes, we all will fry together when we fry  Down by the old maelstrom There'll be a storm before the calm  And we will all bake together when we bake There'll be nobody present at the wake With complete participation In that grand incineration Nearly three billion hunks of well-done steak  Oh we will all char together when we char And let there be no moaning of the bar Just sing out a Te Deum When you see that ICBM And the party will be come-as-you-are  Oh, we will all burn together when we burn There'll be no need to stand and wait your turn When it's time for the fallout And Saint Peter calls us all out We'll just drop our agendas and adjourn  You will all go directly to your respective Valhallas Go directly, do not pass 'GO', do not collect two hundred dollars  And we will all go together when we go Every Hottentot and every Eskimo When the air becomes uraneous We will all go simultaneous Yes, we all will go together When we all go together Yes we all will go together when we go"
