Index,Artist,Title,Lyrics
ML61,Nine Inch Nails,Terrible Lie,"[Verse 1]
(Hey God!)
Why are you doing this to me?
Am I not living up to what I'm supposed to be?
Why am I seething with this animosity?
(Hey God!)
I think you owe me a great big apology

[Chorus]
Terrible lie!
Terrible lie!
Terrible lie!
Terrible lie!

[Verse 2]
(Hey God!)
I really don't know what you mean (don't know what you mean)
Seems like salvation comes only in our dreams
I feel my hatred grow all the more extreme (hatred grow all the more extreme)
(Hey God!)
Can this world really be as sad as it seems?

[Chorus]
Terrible lie!
Terrible lie!
Terrible lie!
Terrible lie!

[Bridge]
Don't take it away from me, I need you to hold on to
Don't take it away from me, I need you to hold on to
Don't take it away from me, I need you to hold on to
Don't take it away from me, I need someone to hold on to
Don't tear it away from me, I need you to hold on to
Don't tear it away from me, I need someone to hold on to
Don't tear it away from me, I need you to hold on to
Don't tear it, don't tear it, don't take it, don't take it, don't

[Verse 3]
(Hey God!)
There's nothing left for me to hide (left for me to hide)
I lost my ignorance, security, and pride
I'm all alone in a world you must despise
(Hey God!)
I believed your promises, your promises and lies

[Chorus]
Terrible lie!
Terrible lie!
Terrible lie!
Terrible lie!

[Post-Chorus]
(Terrible lie!) You made me throw it all away, my morals left to decay
(Terrible lie!) How many you betray, you've taken everything
(Terrible lie!) My head is filled with disease, my skin is begging you please
(Terrible lie!) I'm on my hands and knees, I want so much to believe

[Outro]
(I give you everything
My sweet everything)
I need someone to hold on to (I give you everything) I need someone to hold on to
I need someone, I need someone (My sweet everything) I need someone to hold on to
I need someone to hold on to (I give you everything) I need someone to hold on to
I need someone to hold on to (My sweet everything) I need someone to hold on
I need someone to hold on to (I give you everything) I need someone to hold on to
I need someone, I need someone (My sweet everything) I need someone to hold on to
I need someone to hold on to (I give you everything) I need someone to hold on to
I need someone, I need someone (My sweet everything) I need someone to hold on to
I need someone to hold on to

[Hidden Lyrics]
I give you everything, my sweet everything, hey God, I really don't know who I am, in this world of piss"
ML62,Stone Temple Pilots,Wicked Garden,"[Verse 1]
Can you see like a child?
Can you see what I want?
I wanna run through your wicked garden
Heard that's the place to find you
'Cause I'm alive, so alive now
I know the darkness blinds you

[Verse 2]
Can you see without eyes?
Can you speak without lies?
I wanna drink from your naked fountain
I can drown your sorrows
I'm gonna burn, burn you to life now
Out of the chains that bind you

[Pre-Chorus]
Can you see just like a child?
Can you see just what I want?
Can I bring you back to life?
Are you scared of life?

[Chorus]
Burn (Burn, burn), burn, burn
Burn your wicked garden down
Burn (Burn, burn), burn, burn
Burn your wicked garden to the ground, yeah

[Verse 3]
Can you feel pain inside?
Can you love? Can you cry?
I wanna run through your wicked garden
Heard that's the place to find you
'Cause I'm alive, so alive now
Out of the dark that blinds you

[Pre-Chorus]
Can you see just like a child?
Can you see just what I want?
Can I bring you back to life?
Are you scared of life?

[Chorus]
Burn (Burn, burn), burn, burn
Burn your wicked garden down
Burn (Burn, burn), burn, burn
Burn your wicked garden to the ground, yeah"
ML63,Smashing Pumpkins,Bullet With Butterfly Wings,"[Verse 1]
The world is a vampire
Sent to drain
Secret destroyers
Hold you up to the flames
And what do I get
For my pain?
Betrayed desires
And a piece of the game

[Pre-Chorus]
Even though I know
I suppose I'll show
All my cool and cold
Like ol' Job

[Chorus]
Despite all my rage, I am still just a rat in a cage
Despite all my rage, I am still just a rat in a cage
Someone will say, ""What is lost can never be saved""
Despite all my rage, I am still just a rat in a cage

[Verse 2]
Now I'm naked
Nothing but an animal
But can you fake it
For just one more show?
And what do you want?
I wanna change
And what do you got!
When you feel the same?

[Pre-Chorus]
Even though I know
I suppose I'll show
All my cool and cold
Like ol' Job

[Chorus]
Despite all my rage, I am still just a rat in a cage
Despite all my rage, I am still just a rat in a cage
Then someone will say, ""What is lost can never be saved""
Despite all my rage, I am still just a rat in a cage!
[Middle Eight]
Tell me I'm the only one
Tell me there's no other one
Jesus was an only son, yeah
Tell me I'm the chosen one
Jesus was an only son, for you

[Chorus]
Despite all my rage, I am still just a rat in a cage
Despite all my rage, I am still just a rat in a cage
And someone will say, ""What is lost can never be saved""
Despite all my rage, I am still just a rat in a cage!

[Post-Chorus]
Despite all my rage, I am still just a rat in a…
Despite all my rage, I am still just a rat in a…
Despite all my rage, I am still just a rat in a cage

[Bridge]
Tell me I'm the only one
Tell me there's no other one
Jesus was an only son, for you

[Outro]
And I still believe that I cannot be saved
And I still believe that I cannot be saved
And I still believe that I cannot be saved
And I still believe that I cannot be saved"
ML64,Nirvana,Come As You Are,"[Verse 1]
Come as you are, as you were
As I want you to be
As a friend, as a friend
As an old enemy
Take your time, hurry up
Choice is yours, don't be late
Take a rest as a friend
As an old memoria

[Refrain]
Memoria
Memoria
Memoria
[Verse 2]
Come doused in mud, soaked in bleach
As I want you to be
As a trend, as a friend
As an old memoria

[Refrain]
Memoria
Memoria
Memoria

[Chorus]
And I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun

[Guitar Solo]

[Refrain]
'Ria
Memoria
Memoria
Memoria (No, I don't have a gun)

[Chorus]
Well, I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun

[Outro]
(Memoria)
(Memoria)"
ML65,Black Sabbath,War Pigs,"[Instrumental Intro]

[Verse 1]
Generals gathered in their masses
Just like witches at black masses
Evil minds that plot destruction
Sorcerer of death's construction
In the fields, the bodies burning
As the war machine keeps turning
Death and hatred to mankind
Poisoning their brainwashed minds

[Refrain]
Oh, Lord, yeah

[Bridge]
Politicians hide themselves away
They only started the war
Why should they go out to fight?
They leave that all to the poor, yeah
Time will tell on their power minds
Making war just for fun
Treating people just like pawns in chess
Wait till their judgment day comes, yeah
[Guitar Solo]

[Verse 2]
Now, in darkness, world stops turning
Ashes where their bodies burning
No more war pigs have the power
Hand of God has struck the hour
Day of Judgment, God is calling
On their knees, the war pigs crawling
Begging mercies for their sins
Satan, laughing, spreads his wings

[Refrain]
Oh, Lord, yeah

[Instrumental Outro: Luke's Wall]"
ML66,Korn,Everything I've Known,"[Verse 1]
Away
I see it's going down today
Hoping in time, we'll bury all this pain
And will awake something inside

[Pre-Chorus]
We pushed our buttons far inside
We tear our hearts out, then we fight

[Chorus]
Hey, I know
Feels like I've lost everything that I've known
I cannot survive alone
Feels like I've lost everything that I've known

[Verse 2]
Our lives were good in every way
Too late, time after time
Our love just turned to hate
But we stayed by each other's side

[Pre-Chorus]
We pushed our buttons far inside
We tear our hearts out, then we fight

[Chorus]
Hey, I know
Feels like I've lost everything that I've known
I cannot survive alone
Feels like I've lost everything that I've known

[Bridge]
I keep holding on, I feel I'm where I belong
Every time we fight, it feels so wrong
I feel so enslaved, fuck my pride
Then we meet again

[Pre-Chorus]
We pushed our buttons far inside
We tear our hearts out, then we fight

[Chorus]
Hey, I know
Feels like I've lost everything that I've known
I cannot survive alone
Feels like I've lost everything that I've known"
ML67,Disturbed,Indestructible,"[Siren Intro]

[Verse 1]
Another mission, the powers have called me away
Another time to carry the colors again
My motivation: an oath I've sworn to defend
To win the honor of coming back home again
No explanation will matter after we begin
Unlock the dark destroyer that's buried within
My true vocation, and now, my unfortunate friend
You will discover a war you're unable to win

[Pre-Chorus]
I'll have you know that I've become

[Chorus]
Indestructible
Determination that is incorruptible
From the other side a terror to behold
Annihilation will be unavoidable
Every broken enemy will know
That their opponent had to be invincible
Take a last look around while you're alive
I'm an indestructible master of war

[Verse 2]
Another reason, another cause for me to fight
Another fuse uncovered now for me to light
My dedication to all that I've sworn to protect
I carry out my orders without a regret
My declaration embedded deep under the skin
A permanent reminder of how it began
No hesitation when I am commanded to strike
You need to know that you're in for the fight of your life

[Pre-Chorus]
You will be shown how I've become

[Chorus]
Indestructible
Determination that is incorruptible
From the other side a terror to behold
Annihilation will be unavoidable
Every broken enemy will know
That their opponent had to be invincible
Take a last look around while you're alive
I'm an indestructible master of war

[Post-Chorus]
(Oh)
(Oh)
(Oh)

[Guitar Solo]

[Chorus]
I'm indestructible
Determination that is incorruptible
From the other side a terror to behold
Annihilation will be unavoidable
Every broken enemy will know
That their opponent had to be invincible
Take a last look around while you're alive
I am indestructible (Indestructible)
Indestructible
Determination that is incorruptible
From the other side a terror to behold
Annihilation will be unavoidable
Every broken enemy will know
That their opponent had to be invincible
Take a last look around while you're alive
I'm an indestructible master of war

[Post-Chorus]
(Oh)
(Oh)
(Oh)
(Oh)"
ML68,Three Days Grace,Riot,"[Verse 1]
If you feel so empty
So used up, so let down
If you feel so angry
So ripped off, so stepped on

[Pre-Chorus]
You're not the only one
Refusing to back down
You're not the only one
So get up

[Chorus]
Let's start a riot, a riot
Let's start a riot
Let's start a riot, a riot
Let's start a riot

[Verse 2]
If you feel so filthy
So dirty, so fucked up
If you feel so walked on
So painful, so pissed off

[Pre-Chorus]
You're not the only one
Refusing to back down
You're not the only one
So get up

[Chorus]
Let's start a riot, a riot
Let's start a riot
Let's start a riot, a riot
Let's start a riot

[Bridge]
If you feel so empty
So used up, so let down
If you feel so angry
Just get up
Let's start a riot, a riot
Let's start a riot, yah

[Chorus]
Let's start a riot, a riot
Let's start a riot
Let's start a riot, a riot
Let's start a riot, a riot
Let's start a riot, a riot
Let's start a riot
Let's start a riot, a riot
Let's start a riot"
ML69,Dierks Bentley,Free And Easy ,"Pair of boots and a sack of clothes
Free and easy down the road I go
Hangin' memories on the high line poles
Free and easy down the road I go
Free and easy down the road I go

Ragweed's rockin' on the radio
Free and easy down the road I go
So i keep rollin' like an old banjo
Free and easy down the road I go

Got the sun shinin' on me like a big spotlight
So I know everything is gonna be alright

Sin't no tellin' where the wind might blow
Free and easy down the road I go
Livin' life like a Sunday stroll
Free and easy down the road I go
Free and easy down the road I go

If you only get to go around one time
I'm gonna sit back and try to enjoy the ride

I could make a million or wind up broke
Free and easy down the road I go
Can't take it with you when you go so
Free and easy down the road I go
Someday I know it's gonna take me home so
Free and easy down the road I go
Free and easy down the road I go"
ML70,Kenny Chesney,When The Sun Goes Down ,"[Verse 1: Kenny Chesney]
Sun tanned toes tickling the sand
Cold drink chilling in my right hand
Watchin' you sleep in the evening light
Resting up for a long, long night

[Chorus]
'Cause when the sun goes down, we'll be grooving
When the sun goes down, we'll be feeling all right
When the sun sinks down over the water
Everything gets hotter when the sun goes down, yeah

[Verse 2: Uncle Kracker]
All day long just takin' it easy
Laying in the hammock where it's nice and breezy
Sleeping off the night before
'Cause when the sun goes down, we'll be back for more

[Chorus]
When the sun goes down, we'll be grooving
When the sun goes down, we'll be feeling all right
When the sun sinks down over the water
Everything gets hotter when the sun goes down

[Instrumental Interlude]

[Verse 3: Kenny Chesney & Uncle Kracker]
This old guitar and my dark sunglasses
This sweet concoction is smooth as molasses
Nothing to do but breathe all day
Until the big moon rises and it's time to play

[Chorus]
When the sun goes down, we'll be grooving
When the sun goes down, we'll be feeling all right
When the sun sinks down over the water
Everything gets hotter when the sun goes down
(When the sun goes down)
When the sun goes down, we'll be grooving
When the sun goes down, we'll be feeling all right
When the sun sinks down over the water
Everything gets hotter when the sun goes down, yeah

[Instrumental Interlude]

[Chorus: Kenny Chesney & Uncle Kracker]
When the sun goes down, we'll be grooving
When the sun goes down, we'll be feeling all right
When the sun sinks down over the water
Everything gets hotter when the sun goes down
When the sun goes down, we'll be grooving
When the sun goes down, we feeling all right
When the sun sinks down over the water
She thinks Cracker's sexy when the sun goes down

[Outro: Kenny Chesney & Uncle Kracker]
Mh-mh-mh
We'll be feeling alright
When the sun sinks down over the water
Uncle Kennys' hotter when the sun goes down
When the sun goes down, oh, we'll be grooving
When the sun sinks down, hey, Uncle Kenny
Over the water
Everything gets hotter when the sun goes down"
ML71,Zac Brown Band,Free,"[Verse 1]
So we live out in our old van
Travel all across this land
Me and you
And we'll end up hand in hand
Somewhere down on the sand
Just me and you

[Chorus]
Just as free
Free as we'll ever be
Just as free
Free as we'll ever be

[Verse 2]
We drive until the city lights
Dissolve into a country sky
Just me and you
Lay underneath the harvest moon
Do all the things that lovers do
Just me and you

[Chorus]
Just as free
Free as we'll ever be
Just as free
Free as we'll ever be
And ever be

[Bridge]
No, we don't have a lot of money
No, we don't have a lot of money
No, we don't have a lot of money
No, we don't have a lot of money
No, we don't have a lot of money
No, we don't have a lot of money
No, we don't have a lot of money
All we need is love

[Chorus]
We're free as we'll ever be
Just as free
Free as we'll ever be

[Outro]
So we live out in our old van
Travel all across this land
Me and you"
ML72,Frankie Ballard,Tell Me You Get Lonely,"[Verse 1]
I bet you're kicking yourself for letting me walk away
Making yourself a list of the things you wish you didn't say
Sitting by the phone hoping it's gonna ring

[Chorus]
Tell me you get lonely when it's cold outside
Tell me that you're only barely getting by
I need to know it hurts every time that you hear my name
It ain't the same without me, girl
Tell me you get lonely

[Verse 2]
Sometimes you're up all night crying over me
You've gotta take off of work to catch up on your sleep
But that just don't work, now does it, baby

[Chorus]
So tell me you get lonely when it's cold outside
Tell me that you're only barely getting by
I need to know it hurts every time that you hear my name
It ain't the same without me, girl
Tell me you get lonely

[Bridge]
Tell me you get lonely, and I'll come back
All you've gotta do is call me, my bag's been packed
I'm dying of pride, but I want you to know

[Chorus]
That I get lonely when it's cold outside
Baby, I'm only barely getting by
And it still hurts every time that I hear your name
It ain't the same without you, girl
Baby, I get lonely
Yeah, I get lonely
Tell me you get lonely, too
Tell me you get lonely"
ML73,Faith Hill,The Way You Love Me,"[Verse 1]
If I could grant you one wish
I'd wish you could see the way you kiss
Ooh, I love watching you, baby
When you're driving me, ooh, crazy

[Chorus]
Ooh, I love the way you (You laugh and breathe)
Love the way you love me (And smile when you touch me)
There's nowhere else I'd rather be (It drives me wild)
Ooh, to feel the way I feel with your arms around me (I melt and spin and fall again)
I only wish that you could see
The way you love me (Love me)
Whoa, whoa, whoa, the way you love me

[Verse 2]
It's not right, it's not fair
What you're missing over there
Someday I'll find a way to show you
Just how lucky I am to know you

[Chorus]
Ooh, I love the way you (You laugh and breathe)
Love the way you love me (And smile when you touch me)
There's nowhere else I'd rather be (It drives me wild)
Ooh, to feel the way I feel with your arms around me (I melt and spin and fall again)
I only wish that you could see
The way you love me (Love me)
Whoa, whoa, whoa, the way you love me

[Bridge]
You're the million reasons why there's love reflecting in my eyes

[Chorus]
Ooh, I love the way you (You laugh and breathe)
Love the way you love me (And smile when you touch me)
There's nowhere else I'd rather be (It drives me wild)
Ooh, to feel the way I feel with your arms around me (I melt and spin and fall again)
I only wish that you could see
The way you love me (Love me)
Whoa, whoa, whoa, the way you love me (Love me)
Whoa, whoa, whoa, the way you love me (Love me)
Whoa, whoa, whoa, the way you love me

[Outro]
Oh, the way you love me (Ooh, I love the way you love me)
The way you love me (Ooh, I love the way you love me)
Oh yeah (Ooh, I love the way you love me)
Whoa, whoa, whoa (Yeah)
The way you love me"
ML74,Blake Shelton,Home,"[Chorus 1]
Another summer day has come and gone away in Paris and Rome
But I want to go home
May be surrounded by a million people I, still feel all alone
I want to go home, oh, I miss you, you know

[Verse 1]
And I've been keeping all the letters that I wrote to you
Each one a line or two, I'm fine baby, how are you
I would send them but I know that it's just not enough
My words were cold and flat and you deserve more than that

[Chorus 2]
Another airplane, another sunny place, I'm lucky I know
But I want to go home, I've got to go home
Let me go home
I'm just too far from where you are, I want to come home

[Verse 2]
And I feel just like I'm living someone else's life
It's like I just stepped outside when everything was goin' right
And I know just why you could not come along with me
This was not your dream, but you always believed in me

[Chorus 3]
Another winter day has come and gone away in even Paris and Rome
And I want to go home, let me go home
And I'm surrounded by a million people I, still feel alone
And I want to go home, oh, I miss you, you know

[Outro]
Let me go home
I've had my run, baby I'm done, I'm comin' back home
Let me go home
It'll all be alright, I'll be home tonight, I'm coming back home"
ML75,Josh Turner,Your Man,"[Pre-Chorus]
Baby lock the door and turn the lights down low
Put some music on that's soft and slow
Baby we ain't got no place to go
I hope you understand

[Chorus]
I've been thinking about this all day long
Never felt a feeling quite this strong
I can't believe how much it turns me on
Just to be your man

[Bridge]
There's no hurry
Don't you worry
We can take our time
Come a little closer
Lets go over
What I had in mind

[Pre-Chorus]
Baby lock the door and turn the lights down low
Put some music on that's soft and slow
Baby we ain't got no place to go
I hope you understand

[Chorus]
I've been thinking about this all day long
Never felt a feeling quite this strong
I can't believe how much it turns me on
Just to be your man

[Bridge]
Ain't nobody ever love nobody
The way that I love you
We're alone now
You don't know how
Long I've wanted to

[Pre-Chorus]
Lock the door and turn the lights down low
Put some music on that's soft and slow
Baby we ain't got no place to go
I hope you understand

[Chorus]
I've been thinking about this all day long
Never felt a feeling that was quite this strong
I can't believe how much it turns me on
Just to be your man

[Outro]
I can't believe how much it turns me on
Just to be your man"
ML76,Alice Cooper,Welcome To My Nightmare,"Welcome to my nightmare
I think you're gonna like it
I think you're gonna feel you belong
A nocturnal vacation
Unnecessary sedation
You want to feel at home cause you belong

Welcome to my nightmare, whoa-whoa-oh

Welcome to my breakdown
I hope I didn't scare you
That's just the way we are when we come down
We sweat and laugh and scream here
Cause life is just a dream here
You know inside you feel right at home here

Welcome to my breakdown, whoa-whoa-oh
You're welcome to my nightmare, yeah-yeah-ah

Welcome to my nightmare
I think you're gonna like it
I think you're gonna feel you belong
We sweat and laugh and scream here
Cause life is just a dream here
You know inside you feel right at home here

Welcome to my nightmare, ooh-ooh-ooh
Welcome to my breakdown

Yeah"
ML77,Led Zeppelin,Rock And Roll,"[Verse 1]
It's been a long time since I rock and rolled
It's been a long time since I did the stroll
Ooh, let me get it back, let me get it back, let me get it back
Baby, where I come from

[Chorus]
It's been a long time, been a long time
Been a long lonely, lonely, lonely, lonely, lonely time
Yes, it has

[Verse 2]
It's been a long time since the book of love
I can't count the tears of a life with no love
Carry me back, carry me back, carry me back
Baby, where I come from
Whoa, whoa, oh

[Chorus]
It's been a long time, been a long time
Been a long lonely, lonely, lonely, lonely, lonely time

[Instrumental Break]
Ahhh!  Ahhh!

[Verse 3]
Oh, it seems so long since we walked in the moonlight
Making vows that just can't work right
Oh yeah, open your arms, open your arms, open your arms
Baby, let my love come running in!
Yeah!

[Chorus]
It's been a long time, been a long time
Been a long lonely, lonely, lonely, lonely, lonely time

Yeah, hey
Yeah, hey
Yeah, hey
Yeah, hey

Ooh, yeah
Ooh, yeah
Ooh, yeah
Ooh, yeah

It's been a long time, been a long time
Been a long lonely, lonely, lonely, lonely, lonely time"
ML78,Joan Jett & The Blackhearts,I Hate Myself For Loving You,"[Verse 1]
Midnight, gettin' uptight, where are you?
You said you'd meet me, now it's quarter to two
I know I'm hangin' but I'm still wantin' you
Hey Jack, it's a fact they're talkin' in town
I turn my back and you're messin' around
I'm not really jealous, don't like lookin' like a clown

[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Verse 2]
Daylight, spent the night without you
But I've been dreamin' 'bout the lovin' you do
I'm over bein' angry 'bout the hell you put me through
Hey, man, bet you can treat me right
You just don't know what you was missin' last night
I wanna see you begging, say forget it just for spite

[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Guitar Solo]

[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Outro]
I hate myself for loving you
I hate myself for loving you
I hate myself for loving you
I hate myself
I hate myself for loving you"
ML79,Jonny Lang,Lie To Me,"Lie to me and tell me everything is all right
Lie to me and tell me that you'r stayin' the night
Tell me that you'll never leave
And I'll just try to make believe
That everything you tell me is true

Come on baby won't you just
Lie to me, go ahead and lie to me
Lie to me, go ahead and lie to me

Lie to me, it don't matter anymore
It could never be the way it was before
If I can't hold on to you
Leave me with somethin' I can hold onto
For just a little while won't you let me dream

Oh, Anyone can see
That you love him more than me
But right now, baby, let me pretend
That our love will never end

Lie to me, go ahead and lie to me
Lie to me, go ahead and lie to me
Lie to me, go ahead and lie to me
Lie to me, go ahead and lie to me"
ML80,The Doors,Love Her Madly,"[Verse 1]
Don't you love her madly?
Don't you need her badly?
Don't you love her ways?
Tell me what you say

[Verse 2]
Don't you love her madly?
Wanna be her daddy?
Don't you love her face?

[Refrain]
Don't you love her as she's walkin' out the door
Like she did one thousand times before?

[Verse 3]
Don't you love her ways?
Tell me what you say

[Refrain]
Don't you love her as she's walking out the door?

[Pre-Chorus]
All your love
All your love
All your love
All your love

[Chorus]
All your love is gone
So sing a lonely song
Of a deep blue dream
Seven horses seem
To be on the mark

[Organ Solo]

[Bridge]
Yeah, don't you love her?
Don't you love her as she's walking out the door?

[Pre-Chorus]
All your love
All your love
All your love

[Chorus]
Hey, all your love is gone
So sing a lonely song
Of a deep blue dream
Seven horses seem
To be on the mark

[Guitar Solo]

[Outro]
Don't you love her madly?
Well, don't you love her madly?
Oh, don't you love her madly?"
ML81,Eric Clapton,Cocaine,"[Verse 1]
If you wanna hang out
You've got to take her out
Cocaine
If you wanna get down
Down on the ground
Cocaine

[Chorus]
She don't lie
She don't lie
She don't lie
Cocaine

[Verse 2]
If you've got bad news
You wanna kick them blues
Cocaine
When your day is done
And you wanna run
Cocaine

[Chorus]
She don't lie
She don't lie
She don't lie
Cocaine

[Guitar Solo]

[Verse 3]
If your day is gone
And you wanna ride on
Cocaine
Don't forget this fact
You can't get it back
Cocaine

[Chorus]
She don't lie
She don't lie
She don't lie
Cocaine
She don't lie
She don't lie
She don't lie
Cocaine"
ML82,Robert Cray,Smoking Gun,"[Verse 1]
I get a constant busy signal
When I call you on the phone
I get a strong uneasy feeling
You're not sitting there alone
I'm having nasty, nasty visions
And baby you're in every one, yeah
And I'm so afraid I'm gonna find you with
A so-called smokin' gun

[Verse 2]
Maybe you want to end it
You've had your fill of my kind of fun
But you don't know how to tell me
And you know that I'm not that dumb
I put 2 and 1 together
And you know that's not an even sum
And I know just where to catch you with
That well known smokin' gun

[Verse 3]
I'm standing here bewildered
I can't remember just what I've done
I can hear the sirens whining
My eyes blinded by the sun
I know that I should be running
My heart's beating just like a drum
Now they've knocked me down and takin' it
That still hot smokin' gun

[Outro]
Yeah, yeah . . . still hot smokin' gun
They've taken it
Still hot smokin gun
Oh they've taken it
Still hot smokin' gun
They knocked me down and taken it"
ML83,Jefferson Airplane,Somebody To Love,"[Verse 1]
When the truth is found to be lies
And all the joy within you dies

[Chorus]
Don't you want somebody to love?
Don't you need somebody to love?
Wouldn't you love somebody to love?
You better find somebody to love
Love, love

[Verse 2]
When the garden flowers
Baby, are dead, yes and
Your mind, your mind is so full of red

[Chorus]
Don't you want somebody to love?
Don't you need somebody to love?
Wouldn't you love somebody to love?
You better find somebody to love

[Bridge]
Your eyes, I say your eyes may look like his
Yeah, but in your head, baby
I'm afraid you don't know where it is

[Chorus]
Don't you want somebody to love?
Don't you need somebody to love?
Wouldn't you love somebody to love?
You better find somebody to love

[Verse 3]
Tears are running
They're all running down your breast
And your friends, baby
They treat you like a guest

[Chorus]
Don't you want somebody to love?
Don't you need somebody to love?
Wouldn't you love somebody to love?
You better find somebody to love

[Instrumental Outro]
[Guitar Solo]"
ML84,Supertramp,Bloody Well Right,"[Intro]

[Verse 1]
So you think your schooling is phony
I guess it's hard not to agree
You say it all depends on money
And who is in your family tree

[Hook]
Right, (Right), you're bloody well right
You got a bloody right to say
Right, you're bloody well right
You know you got a right to say
Ha-ha, you're bloody well right
You know you're right to say
Yeah, yeah, you're bloody well right
You know you're right to say
Me, I don't care anyway
[Instrumental Bridge]

[Verse 2]
Write your problems down in detail
Take them to a higher place
You've had your cry, no, I shouldn't say wail
In the meantime, hush your face

[Hook]
Right, (Quite right), you're bloody well right
You got a bloody right to say
Right, you're bloody well right
You know you got a right to say
Ha-ha, you're bloody well right
You know you're right to say
Yeah, yeah, you're bloody well right
You know you got a right to say
[Outro]
You got a bloody right to say
You got a bloody right to say
You got a bloody right to say
You got a bloody right to say, yeah"
ML85,Ted Nugent,Cat Scratch Fever,"[Verse 1]
Well, I don't know where they come from but they sure do come
I hope they comin' for me
And I don't know how they do it but they sure do it good
I hope they're doin' it for free

[Chorus]
They give me cat scratch fever
Cat scratch fever

[Verse 2]
Well, the first time that I got it I was just ten years old
I got it from some kitty next door
An' I went to see the doctor and he gave me the cure
I think I got it some more

[Chorus]
They give me cat scratch fever
Cat scratch fever
I got a bad scratch fever
The cat scratch fever

[Bridge]
It's nothin' dangerous
I feel no pain
I've got the choo-choo train
You know you got it when you, you're going insane
It makes a grown man cry, cry, oh won't you make my bed

[Solo 1]

[Verse 3]
Well, I make the pussy purr with the stroke of my hand
They know they gettin' it from me
They know just where to go when they need their lovin' man
They know I'm doin' it for free

[Chorus]
I give them cat scratch fever
Cat scratch fever
They got a bad scratch fever
The cat scratch fever

[Solo 2]

[Chorus]
Cat scratch fever
Cat scratch fever
Cat scratch fever
Cat scratch fever

[Outro]
Cat scratch fever
Cat scratch fever"
ML86,Alice Cooper,No More Mr. Nice Guy,"[Intro]

[Verse 1]
I used to be such a sweet, sweet thing
'Til they got a hold of me
I opened doors for little old ladies
I helped the blind to see

[Pre-Chorus]
I got no friends cause they read the papers
They can't be seen with me
And I'm gettin' real shot down
And I'm feeling mean

[Chorus]
No more Mister Nice Guy
No more Mister Clean
No more Mister Nice Guy
They say he's sick, he's obscene

[Pre-Chorus]
I got no friends cause they read the papers
They can't be seen with me
And I'm feelin' real shot down
And I'm, I'm gettin' mean

[Chorus]
No more Mister Nice Guy
No more Mister Clean
No more Mister Nice Guy
They say he's sick, he's obscene

[Verse 2]
My dog bit me on the leg today
My cat clawed my eyes (Nice guy)
Ma's been thrown out of the social circle
And dad has to hide
I went to church incognito
When everybody rose, the Reverend Smith
He, he recognized me
And punched me in the nose, he said

[Chorus]
No more Mister Nice Guy
No more Mister Clean
No more Mister Nice Guy
He said you're sick, you're obscene

[Outro]
No more Mister Nice Guy
No more Mister Clean
No more Mister Nice Guy
He said you're sick, you're obscene"
ML87,Neil Young,Heart Of Gold,"[Intro]

[Verse 1: Neil Young]
I want to live, I want to give
I've been a miner for a heart of gold
It's these expressions I never give

[Chorus: Neil Young]
That keep me searchin' for a heart of gold
And I'm getting old
Keep me searchin' for a heart of gold
And I'm getting old

[Bridge]

[Verse 2: Neil Young]
I've been to Hollywood, I've been to Redwood
I crossed the ocean for a heart of gold
I've been in my mind, it's such a fine line

[Chorus: Neil Young]
That keeps me searchin' for a heart of gold
And I'm getting old
Keeps me searchin' for a heart of gold
And I'm getting old

[Bridge]

[Outro: Neil Young & The Stray Gators]
Keep me searchin' for a heart of gold
You keep me searchin' and I'm growing old
Keep me searchin' for a heart of gold
I've been a miner for a heart of gold"
